time_bin,num_files_affected,num_varying_extensions,cpu_usage,memory_usage,time_diff,entropy,key_presses,mouse_activity,file_size,io_read_count,io_write_count,registry_edits,shadow_copy_count,restore_point_count,firewall_disabled,defender_disabled,task_manager_disabled,sequential_operations,operation_sequence_length,label
0.0,1,1,0.08,0.76,0.0,0.0,11.0,1528.0,0.0,48.0,144.0,7.0,0.0,0.0,True,True,True,0.0,1.0,normal
2.0,6,1,0.3,0.77,1.26,7.93,3.17,21.67,3.7,0.0,120.0,42.0,0.0,0.0,True,True,True,0.0,7.0,normal
3.0,2,1,0.37,0.76,1.42,0.0,1.0,24.5,0.0,0.0,4.0,14.0,0.0,0.0,True,True,True,0.0,9.0,normal
5.0,1,1,0.31,0.76,4.29,0.0,5.0,138.0,0.0,0.0,184.0,7.0,0.0,0.0,True,True,True,0.0,10.0,normal
6.0,2,1,0.26,0.76,2.64,2.84,8.5,10.5,0.01,60.0,332.0,14.0,0.0,0.0,True,True,True,0.0,12.0,normal
9.0,2,1,0.07,0.76,3.7,4.98,6.0,109.5,1.28,65.5,228.0,14.0,0.0,0.0,True,True,True,0.0,14.0,normal
10.0,4,3,0.29,0.77,1.3,5.97,1.0,51.25,9.76,52.0,164.0,28.0,0.0,0.0,True,True,True,0.0,18.0,normal
11.0,3,2,0.29,0.77,0.28,6.98,0.0,14.0,9.9,52.0,164.0,21.0,0.0,0.0,True,True,True,1.0,19.0,normal
12.0,1,1,0.45,0.78,4.34,0.0,0.0,153.0,0.0,467.0,624.0,7.0,0.0,0.0,True,True,True,1.0,2.0,normal
13.0,6,2,0.5,0.78,0.54,6.96,1.17,10.17,9.23,0.0,328.0,42.0,0.0,0.0,True,True,True,6.0,8.0,normal
15.0,2,1,0.14,0.76,2.37,7.97,5.0,63.5,6.7,0.0,436.0,14.0,0.0,0.0,True,True,True,2.0,10.0,normal
16.0,2,1,0.33,0.77,1.55,0.0,2.0,24.0,0.0,114.5,392.0,14.0,0.0,0.0,True,True,True,2.0,12.0,normal
18.0,2,1,0.11,0.77,3.6,0.0,0.0,196.0,1.16,40.0,124.0,14.0,0.0,0.0,True,True,True,2.0,14.0,normal
19.0,2,1,0.37,0.77,0.45,0.0,3.0,0.0,1.16,48.0,124.0,14.0,0.0,0.0,True,True,True,3.0,16.0,normal
20.0,2,0,0.79,0.77,1.94,0.0,0.0,91.0,1.16,0.0,576.0,14.0,0.0,0.0,True,True,True,2.0,18.0,normal
21.0,4,0,0.31,0.77,0.45,0.0,2.0,0.0,0.58,0.0,224.0,28.0,0.0,0.0,True,True,True,1.0,19.0,normal
30.0,4,2,0.66,0.79,6.9,5.41,3.75,274.75,7.11,40.0,296.0,28.0,0.0,0.0,True,True,True,4.0,6.0,normal
31.0,2,2,0.0,0.78,2.0,0.0,1.0,81.5,0.0,0.0,232.0,14.0,0.0,0.0,True,True,True,2.0,8.0,normal
41.0,3,1,0.76,0.76,9.91,0.0,8.67,178.0,5.19,360.0,88.0,33.0,0.0,0.0,False,False,False,0.0,11.0,normal
43.0,7,3,0.34,0.76,0.95,7.95,1.29,28.86,10.91,114628.71,614.29,77.0,0.0,0.0,False,False,False,0.0,18.0,normal
44.0,1,1,0.64,0.76,3.45,0.0,3.0,91.0,0.0,138161.5,752.0,11.0,0.0,0.0,False,False,False,0.0,19.0,normal
47.0,1,1,0.33,0.75,8.61,0.0,0.0,619.0,0.0,0.0,108.0,11.0,0.0,0.0,False,False,False,0.0,0.0,normal
48.0,1,1,0.72,0.75,2.33,0.0,6.0,0.0,0.0,0.0,128.0,11.0,0.0,0.0,False,False,False,0.0,1.0,normal
49.0,1,1,0.08,0.75,4.18,0.0,0.0,236.0,0.0,2935.0,2632.0,11.0,0.0,0.0,False,False,False,0.0,2.0,normal
50.0,1,1,0.53,0.75,2.59,0.0,11.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,False,False,False,0.0,3.0,normal
51.0,7,2,0.25,0.75,0.26,1.22,1.0,0.0,0.01,80.0,476.0,77.0,0.0,0.0,False,False,False,0.0,10.0,normal
52.0,7,5,0.45,0.76,0.65,2.06,1.0,20.0,4.21,63.43,332.57,77.0,0.0,0.0,False,False,False,0.0,17.0,normal
58.0,1,1,0.79,0.77,16.09,6.41,0.0,844.0,15.29,168.0,472.0,11.0,0.0,0.0,False,False,False,0.0,18.0,normal
60.0,2,1,0.44,0.78,2.93,7.93,2.0,170.0,3.7,48.0,200.0,22.0,0.0,0.0,False,False,False,0.0,19.0,normal
61.0,2,1,0.25,0.77,2.32,7.93,4.0,60.0,3.7,0.0,156.0,22.0,0.0,0.0,False,False,False,0.0,2.0,normal
65.0,1,1,0.52,0.76,12.04,0.0,24.0,213.0,0.0,64.0,308.0,11.0,0.0,0.0,False,False,False,0.0,3.0,normal
67.0,3,2,0.4,0.76,1.39,0.0,0.67,51.33,0.0,0.0,448.0,33.0,0.0,0.0,False,False,False,0.0,6.0,normal
68.0,1,1,0.4,0.76,5.42,2.84,0.0,192.0,0.01,0.0,200.0,11.0,0.0,0.0,False,False,False,0.0,7.0,normal
